Year,Season,Site,Scenario,Habitat
1889,Jan-Mar,Picnic Crossing,PD,7.99
1890,Jan-Mar,Picnic Crossing,PD,5.59
1891,Jan-Mar,Picnic Crossing,PD,6.78
1892,Jan-Mar,Picnic Crossing,PD,8.17
1893,Jan-Mar,Picnic Crossing,PD,5.86
1894,Jan-Mar,Picnic Crossing,PD,7.63
1895,Jan-Mar,Picnic Crossing,PD,6.32
1896,Jan-Mar,Picnic Crossing,PD,10.32
1897,Jan-Mar,Picnic Crossing,PD,9.12
1898,Jan-Mar,Picnic Crossing,PD,6.26
1899,Jan-Mar,Picnic Crossing,PD,11.99
1900,Jan-Mar,Picnic Crossing,PD,7.64
1901,Jan-Mar,Picnic Crossing,PD,6.97
1902,Jan-Mar,Picnic Crossing,PD,5.29
1903,Jan-Mar,Picnic Crossing,PD,10.29
1904,Jan-Mar,Picnic Crossing,PD,10.41
1905,Jan-Mar,Picnic Crossing,PD,7.87
1906,Jan-Mar,Picnic Crossing,PD,10.96
1907,Jan-Mar,Picnic Crossing,PD,9.65
1908,Jan-Mar,Picnic Crossing,PD,10.4
1909,Jan-Mar,Picnic Crossing,PD,4.25
1910,Jan-Mar,Picnic Crossing,PD,6.06
1911,Jan-Mar,Picnic Crossing,PD,8.02
1912,Jan-Mar,Picnic Crossing,PD,1.89
1913,Jan-Mar,Picnic Crossing,PD,6.3
1914,Jan-Mar,Picnic Crossing,PD,7.23
1915,Jan-Mar,Picnic Crossing,PD,3.82
1916,Jan-Mar,Picnic Crossing,PD,8.08
1917,Jan-Mar,Picnic Crossing,PD,4.1
1918,Jan-Mar,Picnic Crossing,PD,8.13
1919,Jan-Mar,Picnic Crossing,PD,7.55
1920,Jan-Mar,Picnic Crossing,PD,5.21
1921,Jan-Mar,Picnic Crossing,PD,4.07
1922,Jan-Mar,Picnic Crossing,PD,8.11
1923,Jan-Mar,Picnic Crossing,PD,6.55
1924,Jan-Mar,Picnic Crossing,PD,3.55
1925,Jan-Mar,Picnic Crossing,PD,11.36
1926,Jan-Mar,Picnic Crossing,PD,5.88
1927,Jan-Mar,Picnic Crossing,PD,11.63
1928,Jan-Mar,Picnic Crossing,PD,5.49
1929,Jan-Mar,Picnic Crossing,PD,8.89
1930,Jan-Mar,Picnic Crossing,PD,5.72
1931,Jan-Mar,Picnic Crossing,PD,5.46
1932,Jan-Mar,Picnic Crossing,PD,8.51
1933,Jan-Mar,Picnic Crossing,PD,1.87
1934,Jan-Mar,Picnic Crossing,PD,6.15
1935,Jan-Mar,Picnic Crossing,PD,4.61
1936,Jan-Mar,Picnic Crossing,PD,5.33
1937,Jan-Mar,Picnic Crossing,PD,5.03
1938,Jan-Mar,Picnic Crossing,PD,4.04
1939,Jan-Mar,Picnic Crossing,PD,3.69
1940,Jan-Mar,Picnic Crossing,PD,4.7
1941,Jan-Mar,Picnic Crossing,PD,7.61
1942,Jan-Mar,Picnic Crossing,PD,6.33
1943,Jan-Mar,Picnic Crossing,PD,6.32
1944,Jan-Mar,Picnic Crossing,PD,2.36
1945,Jan-Mar,Picnic Crossing,PD,4.95
1946,Jan-Mar,Picnic Crossing,PD,6.41
1947,Jan-Mar,Picnic Crossing,PD,7.95
1948,Jan-Mar,Picnic Crossing,PD,6.1
1949,Jan-Mar,Picnic Crossing,PD,5
1950,Jan-Mar,Picnic Crossing,PD,8.68
1951,Jan-Mar,Picnic Crossing,PD,6.48
1952,Jan-Mar,Picnic Crossing,PD,5.22
1953,Jan-Mar,Picnic Crossing,PD,6.35
1954,Jan-Mar,Picnic Crossing,PD,3.67
1955,Jan-Mar,Picnic Crossing,PD,2.33
1956,Jan-Mar,Picnic Crossing,PD,7.2
1957,Jan-Mar,Picnic Crossing,PD,4.35
1958,Jan-Mar,Picnic Crossing,PD,4.47
1959,Jan-Mar,Picnic Crossing,PD,6.49
1960,Jan-Mar,Picnic Crossing,PD,5.76
1961,Jan-Mar,Picnic Crossing,PD,12.45
1962,Jan-Mar,Picnic Crossing,PD,3.64
1963,Jan-Mar,Picnic Crossing,PD,4.6
1964,Jan-Mar,Picnic Crossing,PD,6.34
1965,Jan-Mar,Picnic Crossing,PD,8.93
1966,Jan-Mar,Picnic Crossing,PD,4
1967,Jan-Mar,Picnic Crossing,PD,8.67
1968,Jan-Mar,Picnic Crossing,PD,5.49
1969,Jan-Mar,Picnic Crossing,PD,6.58
1970,Jan-Mar,Picnic Crossing,PD,4.1
1971,Jan-Mar,Picnic Crossing,PD,3.81
1972,Jan-Mar,Picnic Crossing,PD,5.58
1973,Jan-Mar,Picnic Crossing,PD,2.14
1974,Jan-Mar,Picnic Crossing,PD,4.11
1975,Jan-Mar,Picnic Crossing,PD,5.75
1976,Jan-Mar,Picnic Crossing,PD,3.31
1977,Jan-Mar,Picnic Crossing,PD,8.98
1978,Jan-Mar,Picnic Crossing,PD,3.42
1979,Jan-Mar,Picnic Crossing,PD,5.76
1980,Jan-Mar,Picnic Crossing,PD,5.39
1981,Jan-Mar,Picnic Crossing,PD,9.26
1982,Jan-Mar,Picnic Crossing,PD,4.66
1983,Jan-Mar,Picnic Crossing,PD,9.58
1984,Jan-Mar,Picnic Crossing,PD,4.65
1985,Jan-Mar,Picnic Crossing,PD,7.26
1986,Jan-Mar,Picnic Crossing,PD,6.93
1987,Jan-Mar,Picnic Crossing,PD,6.45
1988,Jan-Mar,Picnic Crossing,PD,6.13
1989,Jan-Mar,Picnic Crossing,PD,6.28
1990,Jan-Mar,Picnic Crossing,PD,5.27
1991,Jan-Mar,Picnic Crossing,PD,6.75
1992,Jan-Mar,Picnic Crossing,PD,6.85
1993,Jan-Mar,Picnic Crossing,PD,6.36
1994,Jan-Mar,Picnic Crossing,PD,2.18
1995,Jan-Mar,Picnic Crossing,PD,4.73
1996,Jan-Mar,Picnic Crossing,PD,5.64
1997,Jan-Mar,Picnic Crossing,PD,9.28
1998,Jan-Mar,Picnic Crossing,PD,3.5
1999,Jan-Mar,Picnic Crossing,PD,3.68
2000,Jan-Mar,Picnic Crossing,PD,5.39
2001,Jan-Mar,Picnic Crossing,PD,7.6
2002,Jan-Mar,Picnic Crossing,PD,4.96
2003,Jan-Mar,Picnic Crossing,PD,5.24
2004,Jan-Mar,Picnic Crossing,PD,7.71
2005,Jan-Mar,Picnic Crossing,PD,4.53
2006,Jan-Mar,Picnic Crossing,PD,7.34
2007,Jan-Mar,Picnic Crossing,PD,2.61
2008,Jan-Mar,Picnic Crossing,PD,8.16
2009,Jan-Mar,Picnic Crossing,PD,7.9
2010,Jan-Mar,Picnic Crossing,PD,1.62
2011,Jan-Mar,Picnic Crossing,PD,6.76
2012,Jan-Mar,Picnic Crossing,PD,6.06
2013,Jan-Mar,Picnic Crossing,PD,6.57
2014,Jan-Mar,Picnic Crossing,PD,5.68
2015,Jan-Mar,Picnic Crossing,PD,9.83
2016,Jan-Mar,Picnic Crossing,PD,8.85
2017,Jan-Mar,Picnic Crossing,PD,4.13
2018,Jan-Mar,Picnic Crossing,PD,10.27
1889,Jan-Mar,Picnic Crossing,FE,7.92
1890,Jan-Mar,Picnic Crossing,FE,5.04
1891,Jan-Mar,Picnic Crossing,FE,6.69
1892,Jan-Mar,Picnic Crossing,FE,5.32
1893,Jan-Mar,Picnic Crossing,FE,5.12
1894,Jan-Mar,Picnic Crossing,FE,7.61
1895,Jan-Mar,Picnic Crossing,FE,5.99
1896,Jan-Mar,Picnic Crossing,FE,10.19
1897,Jan-Mar,Picnic Crossing,FE,7.92
1898,Jan-Mar,Picnic Crossing,FE,5.71
1899,Jan-Mar,Picnic Crossing,FE,11.69
1900,Jan-Mar,Picnic Crossing,FE,3.96
1901,Jan-Mar,Picnic Crossing,FE,5.93
1902,Jan-Mar,Picnic Crossing,FE,1.44
1903,Jan-Mar,Picnic Crossing,FE,10.33
1904,Jan-Mar,Picnic Crossing,FE,10.25
1905,Jan-Mar,Picnic Crossing,FE,5.57
1906,Jan-Mar,Picnic Crossing,FE,11
1907,Jan-Mar,Picnic Crossing,FE,9.65
1908,Jan-Mar,Picnic Crossing,FE,10.12
1909,Jan-Mar,Picnic Crossing,FE,3.83
1910,Jan-Mar,Picnic Crossing,FE,6.1
1911,Jan-Mar,Picnic Crossing,FE,7.45
1912,Jan-Mar,Picnic Crossing,FE,1.93
1913,Jan-Mar,Picnic Crossing,FE,6
1914,Jan-Mar,Picnic Crossing,FE,5.75
1915,Jan-Mar,Picnic Crossing,FE,0.49
1916,Jan-Mar,Picnic Crossing,FE,5.13
1917,Jan-Mar,Picnic Crossing,FE,4.13
1918,Jan-Mar,Picnic Crossing,FE,7.59
1919,Jan-Mar,Picnic Crossing,FE,7.18
1920,Jan-Mar,Picnic Crossing,FE,3.5
1921,Jan-Mar,Picnic Crossing,FE,4.08
1922,Jan-Mar,Picnic Crossing,FE,7.27
1923,Jan-Mar,Picnic Crossing,FE,1.86
1924,Jan-Mar,Picnic Crossing,FE,3.49
1925,Jan-Mar,Picnic Crossing,FE,11.41
1926,Jan-Mar,Picnic Crossing,FE,5.69
1927,Jan-Mar,Picnic Crossing,FE,11.5
1928,Jan-Mar,Picnic Crossing,FE,4.75
1929,Jan-Mar,Picnic Crossing,FE,8.8
1930,Jan-Mar,Picnic Crossing,FE,4.76
1931,Jan-Mar,Picnic Crossing,FE,4.7
1932,Jan-Mar,Picnic Crossing,FE,8.3
1933,Jan-Mar,Picnic Crossing,FE,1.85
1934,Jan-Mar,Picnic Crossing,FE,5.66
1935,Jan-Mar,Picnic Crossing,FE,4.11
1936,Jan-Mar,Picnic Crossing,FE,5.04
1937,Jan-Mar,Picnic Crossing,FE,3.18
1938,Jan-Mar,Picnic Crossing,FE,1.69
1939,Jan-Mar,Picnic Crossing,FE,3.19
1940,Jan-Mar,Picnic Crossing,FE,4.55
1941,Jan-Mar,Picnic Crossing,FE,7.26
1942,Jan-Mar,Picnic Crossing,FE,6.19
1943,Jan-Mar,Picnic Crossing,FE,4.4
1944,Jan-Mar,Picnic Crossing,FE,2.23
1945,Jan-Mar,Picnic Crossing,FE,4.82
1946,Jan-Mar,Picnic Crossing,FE,4.68
1947,Jan-Mar,Picnic Crossing,FE,8.09
1948,Jan-Mar,Picnic Crossing,FE,5.61
1949,Jan-Mar,Picnic Crossing,FE,4.91
1950,Jan-Mar,Picnic Crossing,FE,8.67
1951,Jan-Mar,Picnic Crossing,FE,4.9
1952,Jan-Mar,Picnic Crossing,FE,4.2
1953,Jan-Mar,Picnic Crossing,FE,5.5
1954,Jan-Mar,Picnic Crossing,FE,3.32
1955,Jan-Mar,Picnic Crossing,FE,2.29
1956,Jan-Mar,Picnic Crossing,FE,7.29
1957,Jan-Mar,Picnic Crossing,FE,4.18
1958,Jan-Mar,Picnic Crossing,FE,4.23
