Year,Season,Scenario,Site,Habitat
1889,Jan-Mar,PD,Gargett,19.42
1890,Jan-Mar,PD,Gargett,27.88
1891,Jan-Mar,PD,Gargett,7.93
1892,Jan-Mar,PD,Gargett,8.98
1893,Jan-Mar,PD,Gargett,21.7
1894,Jan-Mar,PD,Gargett,13.86
1895,Jan-Mar,PD,Gargett,17.06
1896,Jan-Mar,PD,Gargett,9.95
1897,Jan-Mar,PD,Gargett,16.82
1898,Jan-Mar,PD,Gargett,13.25
1899,Jan-Mar,PD,Gargett,11.48
1900,Jan-Mar,PD,Gargett,17.08
1901,Jan-Mar,PD,Gargett,5.16
1902,Jan-Mar,PD,Gargett,6.76
1903,Jan-Mar,PD,Gargett,16.24
1904,Jan-Mar,PD,Gargett,17.14
1905,Jan-Mar,PD,Gargett,14.4
1906,Jan-Mar,PD,Gargett,8.69
1907,Jan-Mar,PD,Gargett,10.31
1908,Jan-Mar,PD,Gargett,16.12
1909,Jan-Mar,PD,Gargett,9.61
1910,Jan-Mar,PD,Gargett,21.24
1911,Jan-Mar,PD,Gargett,3.37
1912,Jan-Mar,PD,Gargett,19.06
1913,Jan-Mar,PD,Gargett,18.45
1914,Jan-Mar,PD,Gargett,3.32
1915,Jan-Mar,PD,Gargett,7.28
1916,Jan-Mar,PD,Gargett,21.77
1917,Jan-Mar,PD,Gargett,12.38
1918,Jan-Mar,PD,Gargett,8.55
1919,Jan-Mar,PD,Gargett,6.71
1920,Jan-Mar,PD,Gargett,11.4
1921,Jan-Mar,PD,Gargett,14.27
1922,Jan-Mar,PD,Gargett,7.47
1923,Jan-Mar,PD,Gargett,9.76
1924,Jan-Mar,PD,Gargett,8.67
1925,Jan-Mar,PD,Gargett,5.63
1926,Jan-Mar,PD,Gargett,18.96
1927,Jan-Mar,PD,Gargett,21.57
1928,Jan-Mar,PD,Gargett,15.73
1929,Jan-Mar,PD,Gargett,9.4
1930,Jan-Mar,PD,Gargett,6.54
1931,Jan-Mar,PD,Gargett,7.13
1932,Jan-Mar,PD,Gargett,8.98
1933,Jan-Mar,PD,Gargett,14.92
1934,Jan-Mar,PD,Gargett,6.4
1935,Jan-Mar,PD,Gargett,5.24
1936,Jan-Mar,PD,Gargett,9.49
1937,Jan-Mar,PD,Gargett,5.71
1938,Jan-Mar,PD,Gargett,13.78
1939,Jan-Mar,PD,Gargett,14.38
1940,Jan-Mar,PD,Gargett,21.92
1941,Jan-Mar,PD,Gargett,6.83
1942,Jan-Mar,PD,Gargett,14.16
1943,Jan-Mar,PD,Gargett,10.9
1944,Jan-Mar,PD,Gargett,5.03
1945,Jan-Mar,PD,Gargett,21.26
1946,Jan-Mar,PD,Gargett,12
1947,Jan-Mar,PD,Gargett,5.76
1948,Jan-Mar,PD,Gargett,11.82
1949,Jan-Mar,PD,Gargett,14.24
1950,Jan-Mar,PD,Gargett,22.91
1951,Jan-Mar,PD,Gargett,10.19
1952,Jan-Mar,PD,Gargett,21.85
1953,Jan-Mar,PD,Gargett,14.24
1954,Jan-Mar,PD,Gargett,7.55
1955,Jan-Mar,PD,Gargett,22.74
1956,Jan-Mar,PD,Gargett,18.54
1957,Jan-Mar,PD,Gargett,12.56
1958,Jan-Mar,PD,Gargett,15.8
1959,Jan-Mar,PD,Gargett,18.42
1960,Jan-Mar,PD,Gargett,13.26
1961,Jan-Mar,PD,Gargett,11.07
1962,Jan-Mar,PD,Gargett,22.13
1963,Jan-Mar,PD,Gargett,6.35
1964,Jan-Mar,PD,Gargett,6.83
1965,Jan-Mar,PD,Gargett,8.72
1966,Jan-Mar,PD,Gargett,7.36
1967,Jan-Mar,PD,Gargett,16.75
1968,Jan-Mar,PD,Gargett,3.43
1969,Jan-Mar,PD,Gargett,13.81
1970,Jan-Mar,PD,Gargett,7.05
1971,Jan-Mar,PD,Gargett,18.69
1972,Jan-Mar,PD,Gargett,5.54
1973,Jan-Mar,PD,Gargett,18.82
1974,Jan-Mar,PD,Gargett,20.91
1975,Jan-Mar,PD,Gargett,19.59
1976,Jan-Mar,PD,Gargett,12.13
1977,Jan-Mar,PD,Gargett,7.39
1978,Jan-Mar,PD,Gargett,6.06
1979,Jan-Mar,PD,Gargett,10.71
1980,Jan-Mar,PD,Gargett,23.73
1981,Jan-Mar,PD,Gargett,4.78
1982,Jan-Mar,PD,Gargett,2.83
1983,Jan-Mar,PD,Gargett,7.81
1984,Jan-Mar,PD,Gargett,5.14
1985,Jan-Mar,PD,Gargett,8.9
1986,Jan-Mar,PD,Gargett,3.93
1987,Jan-Mar,PD,Gargett,6.47
1988,Jan-Mar,PD,Gargett,10.47
1989,Jan-Mar,PD,Gargett,4.16
1990,Jan-Mar,PD,Gargett,12.9
1991,Jan-Mar,PD,Gargett,0.22
1992,Jan-Mar,PD,Gargett,5.79
1993,Jan-Mar,PD,Gargett,9.95
1994,Jan-Mar,PD,Gargett,5.19
1995,Jan-Mar,PD,Gargett,6.18
1996,Jan-Mar,PD,Gargett,7.22
1997,Jan-Mar,PD,Gargett,10.44
1998,Jan-Mar,PD,Gargett,33.01
1999,Jan-Mar,PD,Gargett,14.76
2000,Jan-Mar,PD,Gargett,15.32
2001,Jan-Mar,PD,Gargett,6.23
2002,Jan-Mar,PD,Gargett,5.7
2003,Jan-Mar,PD,Gargett,7.61
2004,Jan-Mar,PD,Gargett,5.6
2005,Jan-Mar,PD,Gargett,6.52
2006,Jan-Mar,PD,Gargett,16.95
2007,Jan-Mar,PD,Gargett,17.12
2008,Jan-Mar,PD,Gargett,19.93
2009,Jan-Mar,PD,Gargett,13.51
2010,Jan-Mar,PD,Gargett,19.92
2011,Jan-Mar,PD,Gargett,11.17
2012,Jan-Mar,PD,Gargett,7.91
2013,Jan-Mar,PD,Gargett,16.34
2014,Jan-Mar,PD,Gargett,7.83
2015,Jan-Mar,PD,Gargett,6.05
2016,Jan-Mar,PD,Gargett,13.91
2017,Jan-Mar,PD,Gargett,8.67
2018,Jan-Mar,PD,Gargett,13.26
1889,Apr-Jun,PD,Gargett,20.79
1890,Apr-Jun,PD,Gargett,22.23
1891,Apr-Jun,PD,Gargett,8.95
1892,Apr-Jun,PD,Gargett,10.52
1893,Apr-Jun,PD,Gargett,23.59
1894,Apr-Jun,PD,Gargett,11.31
1895,Apr-Jun,PD,Gargett,15.5
1896,Apr-Jun,PD,Gargett,10.09
1897,Apr-Jun,PD,Gargett,18.2
1898,Apr-Jun,PD,Gargett,17.37
1899,Apr-Jun,PD,Gargett,8.65
1900,Apr-Jun,PD,Gargett,12.01
1901,Apr-Jun,PD,Gargett,5.71
1902,Apr-Jun,PD,Gargett,16.24
1903,Apr-Jun,PD,Gargett,10.86
1904,Apr-Jun,PD,Gargett,10.51
1905,Apr-Jun,PD,Gargett,16.64
