S1,Scen,S1Avg.GAR,S1Avg.MIR,S1Avg.SAR,S1Avg.WHI
1889,PD,19.42,6.97,2.5,0.86
1890,PD,27.88,9.44,6.86,2.3
1891,PD,7.93,8.57,4.53,2.86
1892,PD,8.98,5.14,3.28,3.06
1893,PD,21.7,8.74,5.51,2.15
1894,PD,13.86,11,13.91,6.14
1895,PD,17.06,10.37,5.31,1.79
1896,PD,9.95,10.53,5.84,3.42
1897,PD,16.82,8.78,3.26,1.46
1898,PD,13.25,6.06,2.63,1.81
1899,PD,11.48,11.3,5.34,3.32
1900,PD,17.08,11.11,6.57,3.86
1901,PD,5.16,4.19,1.4,1.51
1902,PD,6.76,5.19,1.51,0.75
1903,PD,16.24,13.18,7.94,5.55
1904,PD,17.14,10.47,11.19,7.44
1905,PD,14.4,8.03,3.34,0.7
1906,PD,8.69,9.43,4.85,3.68
1907,PD,10.31,9.77,5.92,4.6
1908,PD,16.12,9.4,5.45,3.17
1909,PD,9.61,5.05,0.33,0.47
1910,PD,21.24,9.6,9,3.44
1911,PD,3.37,2.98,1.13,0.56
1912,PD,19.06,13.82,3.75,2.43
1913,PD,18.45,9.45,10.93,4.7
1914,PD,3.32,1,0,0
1915,PD,7.28,5.26,0,0
1916,PD,21.77,8.08,2.42,0.99
1917,PD,12.38,5.88,1.54,0.47
1918,PD,8.55,7.09,4.02,2.42
1919,PD,6.71,6.3,2.71,1.56
1920,PD,11.4,6.57,3.44,1.4
1921,PD,14.27,12.14,6.87,4.44
1922,PD,7.47,7.56,3.02,2.61
1923,PD,9.76,6.18,0.65,0.6
1924,PD,8.67,6.12,2.57,1.21
1925,PD,5.63,3.96,1.75,1.24
1926,PD,18.96,13.02,4.31,1.01
1927,PD,21.57,19.48,5.53,1.62
1928,PD,15.73,9.91,6.68,3.76
1929,PD,9.4,8.86,7.8,6.14
1930,PD,6.54,4.18,1.33,1.07
1931,PD,7.13,8.99,5.23,3.5
1932,PD,8.98,7.01,3.6,1.95
1933,PD,14.92,13.03,6.87,3.07
1934,PD,6.4,3.1,0,0.06
1935,PD,5.24,3.04,0.22,0.13
1936,PD,9.49,5.58,3.35,2.05
1937,PD,5.71,4.39,1.3,0.88
1938,PD,13.78,7.78,2.55,1.08
1939,PD,14.38,6.65,0.72,0.58
1940,PD,21.92,9.7,5.91,4.14
1941,PD,6.83,5.59,4.17,3.02
1942,PD,14.16,12.84,9.24,2.35
1943,PD,10.9,7.8,3.31,1.73
1944,PD,5.03,2.33,0.93,0.38
1945,PD,21.26,15.26,4.87,0.96
1946,PD,12,7.2,4.51,1.4
1947,PD,5.76,4.44,2.86,1.25
1948,PD,11.82,7.08,0.58,0.4
1949,PD,14.24,4.1,0.46,0.42
1950,PD,22.91,20.83,15.68,5.75
1951,PD,10.19,9.37,4.99,2.92
1952,PD,21.85,10.23,6.6,5.09
1953,PD,14.24,6.18,2.03,0.72
1954,PD,7.55,3.63,0.19,0.17
1955,PD,22.74,5.62,0.58,0.75
1956,PD,18.54,12.63,7.26,4.58
1957,PD,12.56,14.44,10.12,2.56
1958,PD,15.8,8.65,4.52,3.04
1959,PD,18.42,9.38,5.04,2.74
1960,PD,13.26,9.58,3.16,2.5
1961,PD,11.07,6.66,2.1,0.88
1962,PD,22.13,11.4,8.75,3.87
1963,PD,6.35,5.3,0.32,0.16
1964,PD,6.83,5.2,0,0.08
1965,PD,8.72,8.94,4.88,3.06
1966,PD,7.36,6.46,0.43,0.28
1967,PD,16.75,9.41,3.99,1.91
1968,PD,3.43,1.82,0.55,0.76
1969,PD,13.81,10.01,10.32,1.59
1970,PD,7.05,5.13,3.63,1.4
1971,PD,18.69,12.33,10.66,3.27
1972,PD,5.54,4.65,1.45,0.96
1973,PD,18.82,9.51,0.11,0.35
1974,PD,20.91,11.38,4.77,3.97
1975,PD,19.59,15.11,1.33,0.65
1976,PD,12.13,10.2,4.5,2.27
1977,PD,7.39,7.15,6.12,3.94
1978,PD,6.06,4.26,1.11,0.26
1979,PD,10.71,9.57,9.21,4.7
1980,PD,23.73,7.79,4.38,1.93
1981,PD,4.78,2.27,1.13,0.61
1982,PD,2.83,1.4,0.22,0.04
1983,PD,7.81,5.76,1.94,0.55
1984,PD,5.14,3.02,1.22,0.64
1985,PD,8.9,8.17,3.59,2.12
1986,PD,3.93,1.06,0,0.14
1987,PD,6.47,3.52,1.6,0.87
1988,PD,10.47,7.24,4.27,1.22
1989,PD,4.16,1.84,0.02,0.68
1990,PD,12.9,12.68,9.73,3.04
1991,PD,0.22,0.91,0.54,0.37
1992,PD,5.79,5.65,1.49,0.62
1993,PD,9.95,4.61,1.53,0.81
1994,PD,5.19,4.04,1.76,1.09
1995,PD,6.18,5.54,1.24,0.94
1996,PD,7.22,3.79,0.43,0.42
1997,PD,10.44,8.64,3.85,3.06
1998,PD,33.01,10.62,3.29,2.54
1999,PD,14.76,14.3,2.4,0.99
2000,PD,15.32,13.01,8.87,1.49
2001,PD,6.23,6.89,1.72,0.52
2002,PD,5.7,2.7,0.83,0.67
2003,PD,7.61,7.09,1.43,0.73
2004,PD,5.6,6.34,1.74,1.7
2005,PD,6.52,3.67,0.02,0.02
2006,PD,16.95,11.63,5.87,1.4
2007,PD,17.12,13.19,9.53,2.82
2008,PD,19.93,7.86,6.4,2.25
2009,PD,13.51,6.54,1.42,0.39
2010,PD,19.92,12.88,2.37,0.86
2011,PD,11.17,7.99,3.58,1.17
2012,PD,7.91,8,8.91,1.6
2013,PD,16.34,8.41,2.59,1.59
2014,PD,7.83,8.06,5.16,1.98
2015,PD,6.05,3.34,1.55,0.86
2016,PD,13.91,10.24,4.74,2.08
2017,PD,8.67,6.21,2.29,0.33
2018,PD,13.26,8.9,8.75,6.66
1889,FE,19.49,2.88,2.4,0.79
1890,FE,28.16,6.3,6.83,2.36
1891,FE,9.38,6.15,3.23,2.16
1892,FE,12.51,6.38,3.08,2.1
1893,FE,21.91,4.35,3.89,3.44
1894,FE,14.09,7.43,12.95,6.07
1895,FE,17.71,4.3,5.21,1.73
1896,FE,10.59,3.53,2.74,3.13
1897,FE,16.94,2.18,3.79,1.44
1898,FE,14.99,2.43,2.54,1.53
1899,FE,12.45,7.13,3.73,2.75
1900,FE,17.81,10.96,5.21,3.11
1901,FE,6.73,2.91,0.7,1.51
1902,FE,6.27,1.76,0.76,0.74
1903,FE,16.71,6.27,6.05,3.86
1904,FE,17.32,4.84,8.25,6.09
1905,FE,14.49,3.27,4.12,1.02
1906,FE,8.93,1.96,4.28,3.03
1907,FE,10.88,2.31,5.32,3.32
1908,FE,16.76,3.74,4.85,2.34
1909,FE,9.67,1.19,0.43,0.51
1910,FE,20.74,4.2,8.83,3.27
1911,FE,9.44,7.04,0.83,0.8
1912,FE,19.3,10.79,3.65,1.87
1913,FE,18.54,2.78,7.28,4.5
1914,FE,7.84,8.97,0,0
1915,FE,8.06,3.2,0,0
1916,FE,21.67,4.34,2.59,1.16
1917,FE,12.49,5.14,1.29,0.46
1918,FE,8.82,3.99,2.52,1.61
1919,FE,7.97,3.01,1.3,0.45
1920,FE,11.98,1.59,2.86,1.63
1921,FE,14.6,6.48,4.86,2.85
1922,FE,7.48,4.76,0.71,1.12
1923,FE,11.05,4.77,0.69,0.39
1924,FE,9.02,2.75,2.38,1.17
1925,FE,6.51,1.93,0.11,0.17
1926,FE,18.86,6.75,5.2,1.08
1927,FE,21.66,16.09,5.05,1.55
1928,FE,15.84,5.42,4.96,3.56
1929,FE,9.54,2.72,5.63,5.17
1930,FE,7.97,3.92,0.08,0.29
1931,FE,7.48,5.33,2.41,1.67
1932,FE,10.58,4.45,2.18,1.4
1933,FE,15.29,5.34,5.4,2.89
1934,FE,6.6,1.8,0,0.06
1935,FE,5.37,0.8,0.05,0.1
1936,FE,9.54,1.13,1.95,1.49
1937,FE,6.85,4.17,0.28,0.44
1938,FE,14.74,3.66,2.39,0.94
1939,FE,14.58,5.77,0.32,0.43
1940,FE,22.15,7.82,5.06,3.43
1941,FE,8.29,3.68,2.99,2
1942,FE,14.34,9.82,8.83,1.69
1943,FE,12.13,2.77,2.55,1.23
1944,FE,7.22,2.91,0.62,0.29
1945,FE,21.5,14.43,5.45,1.12
1946,FE,13.96,4.86,2.64,1.32
1947,FE,7.52,3.94,1.95,0.94
1948,FE,11.89,9.24,0.87,0.45
1949,FE,14.3,2.34,0.49,0.57
1950,FE,23.52,19.53,14.6,5.63
1951,FE,11.34,3.7,3.7,2.36
1952,FE,22.86,7.65,4.08,4.51
1953,FE,15.08,4.18,2.38,0.85
1954,FE,9.56,4.37,0.75,0.16
1955,FE,23.52,4.44,0.51,0.67
1956,FE,18.9,8.54,6.09,3.28
1957,FE,12.95,5.62,9.13,1.83
1958,FE,15.93,6.6,4.14,2.99
1959,FE,18.72,3.02,3.91,2.65
1960,FE,13.34,5.39,1.74,1.9
1961,FE,11.27,1.66,1.5,0.59
1962,FE,22.13,10.55,7.74,4.04
1963,FE,6.85,2.6,0,0.08
1964,FE,7.13,2.06,0,0.08
1965,FE,8.84,2.27,4.11,2.64
1966,FE,6.97,2.9,0,0
1967,FE,16.86,3.92,2.97,1.42
1968,FE,6.25,3.03,0.01,0
1969,FE,14.53,9.56,9.03,2.9
1970,FE,7.09,1.01,2.19,1.21
1971,FE,19.5,11.94,9.45,2.99
1972,FE,7.78,4.18,0.6,0.4
1973,FE,18.82,10.67,0.38,0.42
1974,FE,21.56,9.69,3.64,2.86
1975,FE,19.59,11.28,1.21,0.74
1976,FE,12.35,6.12,2.16,2.14
1977,FE,8.5,6.8,4.53,3.11
1978,FE,6.06,3.36,0.19,0.11
1979,FE,11.25,7.16,5.96,4.67
1980,FE,23.95,3.42,2.69,1.17
1981,FE,6.75,6.85,0.94,0.55
1982,FE,4.91,1.77,0.14,0.01
1983,FE,7.92,2.43,0.71,0.03
1984,FE,8.09,3.03,0.47,0.24
1985,FE,9.14,2.41,1.68,0.82
1986,FE,7.87,5.17,0,0.14
