S4,S4Avg.GAR.PD,S4Avg.GAR.FE,S4Avg.MIR.PD,S4Avg.MIR.FE,S4Avg.SAR.PD,S4Avg.SAR.FE,S4Avg.WHI.PD,S4Avg.WHI.FE
1889,8.26,9.64,4.21,4.01,1.94,1.07,1.38,1.00
1890,10.80,11.57,12.09,7.43,5.46,2.68,4.35,3.43
1891,8.33,8.56,5.60,6.04,1.30,0.38,1.84,1.46
1892,4.43,10.35,1.35,8.86,0.00,0.00,0.00,0.00
1893,9.31,9.52,8.43,6.71,2.72,1.05,3.25,2.49
1894,8.04,8.15,7.99,4.14,4.02,2.30,3.09,2.77
1895,0.51,11.45,0.01,11.85,0.00,0.88,0.00,1.49
1896,1.48,11.40,0.40,11.85,0.00,0.48,1.05,1.24
1897,0.72,10.95,0.00,10.87,0.00,0.84,0.00,1.37
1898,2.83,11.43,0.81,11.67,0.05,0.49,0.98,1.56
1899,4.90,11.10,1.36,11.66,0.00,0.28,0.00,0.68
1900,0.90,11.67,0.17,11.41,0.00,0.83,0.00,1.85
1901,4.80,10.37,1.24,10.04,0.00,0.00,0.00,0.21
1902,1.13,0.67,0.82,0.43,0.00,0.00,0.00,0.00
1903,6.10,7.30,3.53,3.86,0.69,0.12,0.74,0.69
1904,1.19,6.16,0.22,2.82,0.00,0.00,0.00,0.00
1905,2.75,6.10,1.58,4.01,0.06,0.01,0.42,0.42
1906,8.12,8.85,5.22,3.26,1.33,0.83,1.20,1.18
1907,4.84,9.36,2.36,8.55,0.13,0.11,0.03,0.00
1908,2.52,11.11,0.72,9.46,0.00,0.00,0.27,0.24
1909,1.38,9.92,0.27,7.52,0.11,0.06,0.07,0.07
1910,5.90,9.46,1.98,10.42,0.05,0.06,1.17,0.56
1911,1.68,11.24,0.48,11.83,0.00,0.53,0.53,1.31
1912,7.62,8.40,3.29,2.74,0.10,0.00,0.95,0.89
1913,5.96,9.43,2.25,8.85,0.15,0.07,1.42,1.29
1914,7.65,9.45,3.79,7.89,0.13,0.01,0.88,0.64
1915,1.61,7.31,0.75,8.06,0.00,0.45,0.00,1.04
1916,8.96,8.36,8.14,3.55,1.15,0.79,0.72,0.57
1917,7.51,8.08,6.67,3.44,1.87,0.63,1.65,0.89
1918,4.98,10.02,1.39,10.08,0.00,0.12,0.98,0.82
1919,7.96,11.16,1.98,11.12,0.00,0.00,1.25,0.53
1920,9.13,9.93,9.97,6.85,0.00,0.00,0.29,0.18
1921,13.17,14.15,12.92,6.65,5.59,2.67,4.74,2.70
1922,4.49,10.18,1.42,9.94,0.05,0.00,0.11,0.11
1923,1.75,11.11,0.31,11.52,0.00,0.84,0.04,1.83
1924,10.73,11.38,8.98,5.12,0.10,0.00,0.76,0.13
1925,7.50,10.63,2.05,9.29,0.00,0.00,0.21,0.21
1926,7.40,10.33,3.40,9.34,0.00,0.00,0.50,0.01
1927,6.86,8.07,3.98,2.57,0.16,0.08,0.14,0.11
1928,5.28,10.82,2.65,8.13,0.81,0.16,0.53,0.55
1929,4.63,11.21,1.52,11.85,0.41,0.24,1.06,0.77
1930,8.67,9.44,5.79,7.17,0.38,0.00,0.88,0.52
1931,3.87,9.11,1.65,8.67,0.54,0.89,0.23,1.59
1932,3.68,9.34,1.92,9.67,0.00,0.25,0.04,0.76
1933,14.24,14.50,8.12,6.51,4.40,2.77,2.07,1.56
1934,7.59,7.61,5.69,4.47,0.62,0.49,0.69,0.68
1935,2.13,10.95,0.40,10.70,0.00,0.41,0.00,0.89
1936,7.12,9.39,3.61,7.79,0.59,0.12,1.23,1.08
1937,3.41,9.86,1.12,10.50,0.00,0.15,0.00,0.79
1938,5.18,7.80,1.80,6.40,0.00,0.00,0.29,0.21
1939,5.78,10.05,2.03,9.88,0.00,0.00,0.07,0.00
1940,9.22,10.26,7.77,8.33,2.34,0.43,3.00,1.90
1941,7.09,8.30,4.30,4.24,0.63,0.13,1.10,0.98
1942,8.55,9.44,7.82,3.80,1.25,0.18,1.32,0.75
1943,6.44,10.17,1.99,9.83,0.00,0.00,0.34,0.34
1944,4.74,10.02,1.67,9.15,0.00,0.10,0.16,0.21
1945,6.65,8.35,2.91,5.02,0.35,0.00,0.66,0.10
1946,3.06,11.36,1.64,11.56,0.00,0.62,0.74,1.38
1947,4.82,9.92,1.97,11.47,0.01,0.00,0.11,0.04
1948,3.04,11.45,0.88,11.83,0.00,0.36,0.00,1.38
1949,3.88,10.82,1.01,11.36,0.00,0.00,0.00,0.03
1950,21.13,21.91,16.32,14.07,15.06,11.68,10.21,8.23
1951,2.15,10.96,1.25,11.77,0.00,0.81,0.67,1.65
1952,2.56,10.76,0.71,11.68,0.00,0.13,0.08,0.57
1953,1.20,10.99,0.30,9.96,0.00,0.17,0.00,0.46
1954,7.72,8.51,4.97,4.87,1.22,0.31,1.46,1.53
1955,7.52,9.43,3.37,9.13,0.71,0.12,1.57,1.39
1956,7.25,7.89,7.47,5.32,4.19,2.43,2.65,2.37
1957,7.09,10.47,2.54,10.04,0.08,0.00,1.01,0.89
1958,6.93,9.64,3.35,9.13,0.21,0.00,1.36,1.07
1959,3.77,9.81,1.11,11.55,0.00,0.02,0.00,0.40
1960,2.34,10.44,0.63,11.42,0.00,0.21,0.03,0.58
1961,6.01,10.34,4.78,7.56,0.47,0.24,0.52,1.01
1962,3.73,9.84,1.09,10.90,0.00,0.02,0.00,0.31
1963,8.47,10.23,5.56,9.68,0.92,0.14,2.07,1.78
1964,6.16,9.43,2.77,8.21,0.00,0.00,0.42,0.29
