Date,DAY,MONTH,QUARTER,YEAR.FIN.CALC,YEAR.FIN,YEAR,GARGETT_T1.PD(m),GARGETT_T1.FE(m),MIRANI__S1.PD,MIRANI__S1.FE,WHITEFD_T1PD(m),WHITEFD_T1FE(m),SARICHS_B1PD(m),SARICHS_B1FE(m)
01/07/1889,1,7,THIRD,1889,1889,1889,10,7.97,15.32,4.04,5.7,4.03,7.21,4.11
02/07/1889,2,7,THIRD,1889,1889,1889,10,6.94,9.2,2,5.79,3.02,7.21,4.11
03/07/1889,3,7,THIRD,1889,1889,1890,10,6.94,9.2,2,5.75,3.02,7.21,4.11
04/07/1889,4,7,THIRD,1889,1889,1891,10,6.94,9.2,2,5.74,3.02,7.21,4.11
05/07/1889,5,7,THIRD,1889,1889,1889,10,6.94,9.2,2,5.73,3.02,7.21,4.11
06/07/1889,6,7,THIRD,1889,1889,1889,10,6.94,9.2,2,5.7,3.02,7.21,4.11
07/07/1889,7,7,THIRD,1889,1889,1889,10,6.94,9.2,2,4.03,3.02,6.2,4.11
08/07/1889,8,7,THIRD,1889,1889,1889,10,6.94,9.2,2,4.03,3.02,6.2,4.11
09/07/1889,9,7,THIRD,1889,1889,1889,10,5.95,9.2,2,4.03,2.02,6.2,2.11
10/07/1889,10,7,THIRD,1889,1889,1889,10,5.95,9.17,2,4.03,2.02,6.2,2.11
11/07/1889,11,7,THIRD,1889,1889,1889,10,5.95,9.14,2,4.03,2.02,6.2,2.11
12/07/1889,12,7,THIRD,1889,1889,1889,10,5.95,9.1,2,4.03,2.02,6.2,2.11
13/07/1889,13,7,THIRD,1889,1889,1889,10,5.95,9.06,2,4.03,2.02,6.2,2.11
14/07/1889,14,7,THIRD,1889,1889,1889,10,5.95,9.2,2,4.03,2.02,6.2,2.11
15/07/1889,15,7,THIRD,1889,1889,1889,10,5.95,9.2,2,4.03,2.02,5.18,2.11
16/07/1889,16,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
17/07/1889,17,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
18/07/1889,18,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
19/07/1889,19,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
20/07/1889,20,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
21/07/1889,21,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
22/07/1889,22,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
23/07/1889,23,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
24/07/1889,24,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
25/07/1889,25,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
26/07/1889,26,7,THIRD,1889,1889,1889,8.02,3.96,5.09,2,2.02,2.02,5.18,2.11
27/07/1889,27,7,THIRD,1889,1889,1889,9.01,4.96,5.09,2,2.02,2.02,5.18,2.11
28/07/1889,28,7,THIRD,1889,1889,1889,9.01,4.96,5.09,2,2.02,1.01,4.11,2.11
29/07/1889,29,7,THIRD,1889,1889,1889,9.01,4.96,5.09,2,2.02,1.01,4.11,2.11
30/07/1889,30,7,THIRD,1889,1889,1889,9.01,6.94,7.05,2,3.02,1.01,4.11,2.11
31/07/1889,31,7,THIRD,1889,1889,1889,10.99,7.94,9.18,2,3.02,1.01,4.11,2.11
01/08/1889,1,8,THIRD,1889,1889,1889,10.99,7.94,10.22,2,3.02,1.01,4.11,2.11
02/08/1889,2,8,THIRD,1889,1889,1889,10.99,8.94,14.32,2,3.02,1.01,4.11,2.11
03/08/1889,3,8,THIRD,1889,1889,1889,10.99,8.94,15.26,2,4.03,1.01,4.11,2.11
04/08/1889,4,8,THIRD,1889,1889,1889,11,8.94,14.24,2,4.03,2.01,4.11,2.11
05/08/1889,5,8,THIRD,1889,1889,1889,11,8.94,14.22,8.14,4.03,2.01,4.11,2.11
06/08/1889,6,8,THIRD,1889,1889,1889,11,8.94,13.28,8.14,3.02,3.92,4.11,2.11
07/08/1889,7,8,THIRD,1889,1889,1889,11,8.94,13.28,8.14,3.02,3.91,4.11,2.11
08/08/1889,8,8,THIRD,1889,1889,1889,11,8.94,13.28,8.14,3.02,3.91,4.11,2.11
09/08/1889,9,8,THIRD,1889,1889,1889,11.89,8.94,13.28,8.14,3.02,3.9,3.11,1.06
10/08/1889,10,8,THIRD,1889,1889,1889,11.88,8.94,13.28,8.14,3.02,2.88,3.11,1.06
11/08/1889,11,8,THIRD,1889,1889,1889,11.87,8.94,13.28,8.14,3.02,2.01,3.11,1.06
12/08/1889,12,8,THIRD,1889,1889,1889,11.86,8.94,12.26,8.14,3.02,2.01,2.11,1.06
13/08/1889,13,8,THIRD,1889,1889,1889,11.85,8.94,12.26,8.14,3.02,2.01,2.11,1.06
14/08/1889,14,8,THIRD,1889,1889,1889,10.84,8.94,12.26,8.14,3.02,2.01,2.11,1.06
15/08/1889,15,8,THIRD,1889,1889,1889,10.82,8.94,12.26,10.19,3.02,2.01,2.11,1.06
16/08/1889,16,8,THIRD,1889,1889,1889,10.81,8.94,12.26,10.19,3.02,2.01,2.11,1.06
17/08/1889,17,8,THIRD,1889,1889,1889,10.8,9.97,12.26,10.19,2.01,3.01,2.11,1.06
18/08/1889,18,8,THIRD,1889,1889,1889,11.79,9.97,12.26,11.25,3.01,3.01,2.11,1.06
19/08/1889,19,8,THIRD,1889,1889,1889,11.78,11.79,12.26,10.19,3.01,3.01,2.11,1.06
20/08/1889,20,8,THIRD,1889,1889,1889,11.77,11.78,12.26,10.19,3.01,3.01,2.11,1.06
21/08/1889,21,8,THIRD,1889,1889,1889,11,11.77,12.26,10.19,3.95,3.01,2.11,1.06
22/08/1889,22,8,THIRD,1889,1889,1889,9.97,11,12.26,10.19,3.94,3.01,2.11,1.06
23/08/1889,23,8,THIRD,1889,1889,1889,9.97,9.97,12.26,10.19,3.94,3.01,2.11,1.06
