"","ï..Year","Season","Scenario","Site","Habitat"
"1",1889,"Jan-Mar","PD","Gargett",19.42
"2",1890,"Jan-Mar","PD","Gargett",27.88
"3",1891,"Jan-Mar","PD","Gargett",7.93
"4",1892,"Jan-Mar","PD","Gargett",8.98
"5",1893,"Jan-Mar","PD","Gargett",21.7
"6",1894,"Jan-Mar","PD","Gargett",13.86
"7",1895,"Jan-Mar","PD","Gargett",17.06
"8",1896,"Jan-Mar","PD","Gargett",9.95
"9",1897,"Jan-Mar","PD","Gargett",16.82
"10",1898,"Jan-Mar","PD","Gargett",13.25
"11",1899,"Jan-Mar","PD","Gargett",11.48
"12",1900,"Jan-Mar","PD","Gargett",17.08
"13",1901,"Jan-Mar","PD","Gargett",5.16
"14",1902,"Jan-Mar","PD","Gargett",6.76
"15",1903,"Jan-Mar","PD","Gargett",16.24
"16",1904,"Jan-Mar","PD","Gargett",17.14
"17",1905,"Jan-Mar","PD","Gargett",14.4
"18",1906,"Jan-Mar","PD","Gargett",8.69
"19",1907,"Jan-Mar","PD","Gargett",10.31
"20",1908,"Jan-Mar","PD","Gargett",16.12
"21",1909,"Jan-Mar","PD","Gargett",9.61
"22",1910,"Jan-Mar","PD","Gargett",21.24
"23",1911,"Jan-Mar","PD","Gargett",3.37
"24",1912,"Jan-Mar","PD","Gargett",19.06
"25",1913,"Jan-Mar","PD","Gargett",18.45
"26",1914,"Jan-Mar","PD","Gargett",3.32
"27",1915,"Jan-Mar","PD","Gargett",7.28
"28",1916,"Jan-Mar","PD","Gargett",21.77
"29",1917,"Jan-Mar","PD","Gargett",12.38
"30",1918,"Jan-Mar","PD","Gargett",8.55
"31",1919,"Jan-Mar","PD","Gargett",6.71
"32",1920,"Jan-Mar","PD","Gargett",11.4
"33",1921,"Jan-Mar","PD","Gargett",14.27
"34",1922,"Jan-Mar","PD","Gargett",7.47
"35",1923,"Jan-Mar","PD","Gargett",9.76
"36",1924,"Jan-Mar","PD","Gargett",8.67
