"","Gargett.ï..Year","Gargett.Season","Gargett.Scenario","Gargett.Site","Gargett.Habitat","Mirani.ï..Year","Mirani.Season","Mirani.Scenario","Mirani.Site","Mirani.Habitat","Sarichs.ï..Year","Sarichs.Season","Sarichs.Scenario","Sarichs.Site","Sarichs.Habitat","Whitefd.ï..Year","Whitefd.Season","Whitefd.Scenario","Whitefd.Site","Whitefd.Habitat"
"1",1889,"Jan-Mar","PD","Gargett",19.42,1889,"Jan-Mar","PD","Mirani",6.97,1889,"Jan-Mar","PD","Sarichs",2.5,1889,"Jan-Mar","PD","Whitefd",0.86
"2",1890,"Jan-Mar","PD","Gargett",27.88,1890,"Jan-Mar","PD","Mirani",9.44,1890,"Jan-Mar","PD","Sarichs",6.86,1890,"Jan-Mar","PD","Whitefd",2.3
"3",1891,"Jan-Mar","PD","Gargett",7.93,1891,"Jan-Mar","PD","Mirani",8.57,1891,"Jan-Mar","PD","Sarichs",4.53,1891,"Jan-Mar","PD","Whitefd",2.86
"4",1892,"Jan-Mar","PD","Gargett",8.98,1892,"Jan-Mar","PD","Mirani",5.14,1892,"Jan-Mar","PD","Sarichs",3.28,1892,"Jan-Mar","PD","Whitefd",3.06
"5",1893,"Jan-Mar","PD","Gargett",21.7,1893,"Jan-Mar","PD","Mirani",8.74,1893,"Jan-Mar","PD","Sarichs",5.51,1893,"Jan-Mar","PD","Whitefd",2.15
"6",1894,"Jan-Mar","PD","Gargett",13.86,1894,"Jan-Mar","PD","Mirani",11,1894,"Jan-Mar","PD","Sarichs",13.91,1894,"Jan-Mar","PD","Whitefd",6.14
"7",1895,"Jan-Mar","PD","Gargett",17.06,1895,"Jan-Mar","PD","Mirani",10.37,1895,"Jan-Mar","PD","Sarichs",5.31,1895,"Jan-Mar","PD","Whitefd",1.79
"8",1896,"Jan-Mar","PD","Gargett",9.95,1896,"Jan-Mar","PD","Mirani",10.53,1896,"Jan-Mar","PD","Sarichs",5.84,1896,"Jan-Mar","PD","Whitefd",3.42
"9",1897,"Jan-Mar","PD","Gargett",16.82,1897,"Jan-Mar","PD","Mirani",8.78,1897,"Jan-Mar","PD","Sarichs",3.26,1897,"Jan-Mar","PD","Whitefd",1.46
"10",1898,"Jan-Mar","PD","Gargett",13.25,1898,"Jan-Mar","PD","Mirani",6.06,1898,"Jan-Mar","PD","Sarichs",2.63,1898,"Jan-Mar","PD","Whitefd",1.81
"11",1899,"Jan-Mar","PD","Gargett",11.48,1899,"Jan-Mar","PD","Mirani",11.3,1899,"Jan-Mar","PD","Sarichs",5.34,1899,"Jan-Mar","PD","Whitefd",3.32
"12",1900,"Jan-Mar","PD","Gargett",17.08,1900,"Jan-Mar","PD","Mirani",11.11,1900,"Jan-Mar","PD","Sarichs",6.57,1900,"Jan-Mar","PD","Whitefd",3.86
"13",1901,"Jan-Mar","PD","Gargett",5.16,1901,"Jan-Mar","PD","Mirani",4.19,1901,"Jan-Mar","PD","Sarichs",1.4,1901,"Jan-Mar","PD","Whitefd",1.51
"14",1902,"Jan-Mar","PD","Gargett",6.76,1902,"Jan-Mar","PD","Mirani",5.19,1902,"Jan-Mar","PD","Sarichs",1.51,1902,"Jan-Mar","PD","Whitefd",0.75
"15",1903,"Jan-Mar","PD","Gargett",16.24,1903,"Jan-Mar","PD","Mirani",13.18,1903,"Jan-Mar","PD","Sarichs",7.94,1903,"Jan-Mar","PD","Whitefd",5.55
"16",1904,"Jan-Mar","PD","Gargett",17.14,1904,"Jan-Mar","PD","Mirani",10.47,1904,"Jan-Mar","PD","Sarichs",11.19,1904,"Jan-Mar","PD","Whitefd",7.44
